date, pm25, pm10, o3, no2, co
2015/5/27, 38, 7, , 39, 
2015/5/28, 52, 9, , 45, 
2015/5/29, 53, 10, , 30, 
2015/5/30, 61, 10, , 26, 
2015/5/31, 61, 10, , 34, 
2015/6/1, 61, 10, , 25, 
2015/6/2, 55, 11, , 43, 
2015/6/3, 64, 14, , 44, 
2015/6/4, 75, 14, , 47, 
2015/6/5, 76, 11, , 36, 
2015/6/6, 68, 11, , 29, 
2015/6/7, 63, 13, , 55, 
2015/6/8, 77, 12, , 56, 
2015/6/9, 70, 13, , 47, 
2015/6/10, 75, 17, , 46, 
2015/6/11, 79, 15, , 40, 
2015/6/12, 74, 10, , 29, 
2015/6/13, 63, 10, , 28, 
2015/6/14, 59, 10, , 33, 
2015/6/15, 60, 8, , 42, 
2015/6/16, 59, 8, , 37, 
2015/6/17, 57, 9, , 43, 
2015/6/18, 58, 10, , 40, 
2015/6/19, 62, 7, , 30, 
2015/6/20, 50, 5, , 27, 
2015/6/21, 38, 7, , 39, 
2015/6/22, 54, 8, , 39, 
2015/6/23, 58, 6, , 32, 
2015/6/24, 42, 6, , 37, 
2015/6/25, 45, 8, , 39, 
2015/6/26, 46, 9, , 32, 
2015/6/27, 55, 9, , 25, 
2015/6/28, 53, 9, , 40, 
2015/6/29, 58, 10, , 39, 
2015/6/30, 62, 11, , 42, 
2015/1/2, 109, 32, , 56, 
2015/1/3, 127, 39, , 50, 
2015/1/4, 137, 12, , 62, 
2015/1/5, 72, 39, , 50, 
2015/1/6, 142, 48, , 55, 
2015/1/7, 157, 55, , 57, 
2015/1/8, 164, 50, , 68, 
2015/1/9, 158, 45, , 68, 
2015/1/10, 157, 35, , 41, 
2015/1/11, 147, 9, , 63, 
2015/1/12, 63, 29, , 94, 
2015/1/13, 151, 50, , 64, 
2015/1/14, 162, 52, , 71, 
2015/1/15, 162, , , 76, 
2015/1/16, 137, 7, , 42, 
2015/1/17, 61, 15, , 45, 
2015/1/18, 82, 26, , 47, 
2015/1/19, 112, 41, , 37, 
2015/1/20, 142, 38, , 47, 
2015/1/21, 147, 23, , 38, 
2015/1/22, 97, 20, , 43, 
2015/1/23, 89, 21, , 46, 
2015/1/24, 97, 20, , 44, 
2015/1/25, 93, 15, , 46, 
2015/1/26, 76, 22, , 47, 
2015/1/28, 89, 20, , 54, 
2015/1/29, 89, , , 48, 
2015/1/30, 82, 19, , 49, 
2015/1/31, 95, 26, , 45, 
2015/2/1, 104, 20, , 53, 
2015/2/2, 93, 36, , 50, 
2015/2/3, 149, 25, , 38, 
2015/2/4, 102, , , 43, 
2015/2/9, 109, 29, , 84, 
2015/2/10, 117, 40, , 69, 
2015/2/11, 151, 40, , 62, 
2015/2/12, 151, 49, , 62, 
2015/2/13, 158, 50, , 44, 
2015/2/14, 160, 30, , 38, 
2015/2/15, 119, 26, , 44, 
2015/2/16, 97, 37, , 63, 
2015/2/17, 151, 33, , 49, 
2015/2/18, 142, 33, , 70, 
2015/2/19, 134, 27, , 65, 
2015/2/20, 109, 11, , 49, 
2015/2/21, 65, 12, , 43, 
2015/2/22, 57, 10, , 53, 
2015/2/23, 65, 23, , 41, 
2015/2/24, 95, 14, , 46, 
2015/2/25, 59, 16, , 49, 
2015/2/26, 91, , , , 
2015/2/27, 93, 26, , 52, 
2015/2/28, 104, 31, , 49, 
2015/3/1, 117, 30, , 42, 
2015/3/2, 114, 41, , 50, 
2015/3/3, 153, 40, , 42, 
2015/3/4, 147, 9, , 48, 
2015/3/5, 65, 11, , 54, 
2015/3/6, 78, 14, , 54, 
2015/3/7, 80, 16, , 47, 
2015/3/8, 78, 20, , 48, 
2015/3/9, 93, 29, , 59, 
2015/3/10, 117, 25, , 64, 
2015/3/11, 104, 16, , 53, 
2015/3/12, 87, , , 49, 
2015/3/13, 76, 23, , 45, 
2015/3/14, 102, 21, , 29, 
2015/3/15, 89, 19, , 48, 
2015/3/16, 80, 27, , 44, 
2015/3/17, 112, 31, , 55, 
2015/3/18, 144, 23, , 58, 
2015/3/19, 117, 30, , 58, 
2015/3/20, 132, , , 49, 
2015/3/23, 112, 31, , 49, 
2015/3/24, 134, 9, , 45, 
2015/3/25, 59, 8, , 45, 
2015/3/26, 55, 10, , , 
2015/3/27, 59, 8, , 43, 
2015/3/28, 50, 10, , 39, 
2015/3/29, 55, 10, , 42, 
2015/3/30, 67, 8, , 44, 
2015/3/31, 63, 8, , 35, 
2014/10/6, 78, 20, , 47, 
2014/10/7, 92, 39, , 39, 
2014/10/8, 152, 41, , 47, 
2014/10/9, 155, 38, , 48, 
2014/10/10, 156, 23, , 38, 
2014/10/11, 114, 12, , 37, 
2014/10/12, 71, 12, , 38, 
2014/10/13, 84, 11, , 38, 
2014/10/14, 72, 20, , 35, 
2014/10/15, 92, 11, , 53, 
2014/10/16, 76, 19, , 49, 
2014/10/17, 76, 24, , 48, 
2014/10/18, 119, 25, , 38, 
2014/10/19, 109, 22, , 38, 
2014/10/20, 99, 9, , 38, 
2014/10/21, 71, 9, , 38, 
2014/10/22, 70, , , , 
2014/10/24, 68, 11, , 47, 
2014/10/25, 73, 16, , 40, 
2014/10/26, 72, 18, , 52, 
2014/10/27, 84, 24, , 43, 
2014/10/28, 102, 27, , 65, 
2014/10/29, 112, 32, , 60, 
2014/10/30, 124, 45, , , 
2014/10/31, 155, 40, , 56, 
2014/11/1, 151, 20, , 54, 
2014/11/2, 89, 10, , 53, 
2014/11/3, 57, 4, , 37, 
2014/11/4, 50, 5, , 42, 
2014/11/5, 59, 6, , 43, 
2014/11/6, 57, 14, , , 
2014/11/8, 102, 21, , 38, 
2014/11/9, 97, 14, , 41, 
2014/11/10, 70, 20, , 39, 
2014/11/11, 89, 16, , 41, 
2014/11/12, 89, 9, , 48, 
2014/11/13, 57, , , , 
2014/11/14, 78, , , , 
2014/11/19, 97, 21, , 43, 
2014/11/20, 87, 31, , 49, 
2014/11/21, 124, 53, , 43, 
2014/11/22, 161, 53, , 43, 
2014/11/23, 159, 54, , 52, 
2014/11/24, 162, 52, , 70, 
2014/11/25, 161, 24, , 41, 
2014/11/26, 97, 27, , 50, 
2014/11/27, 117, 18, , , 
2014/11/28, 82, 21, , 35, 
2014/11/29, 97, 19, , 35, 
2014/11/30, 93, 12, , 38, 
2014/12/1, 91, 11, , 38, 
2014/12/2, 91, 10, , 37, 
2014/12/3, 55, 14, , 35, 
2014/12/4, 65, , , , 
2014/12/6, 95, 11, , 26, 
2014/12/7, 53, 12, , 39, 
2014/12/8, 61, 15, , 48, 
2014/12/9, 74, 19, , 45, 
2014/12/10, 80, 21, , 57, 
2014/12/11, 87, , , , 
2014/12/12, 95, 50, , 52, 
2014/12/13, 156, 55, , 44, 
2014/12/14, 163, 56, , 48, 
2014/12/15, 164, 32, , 58, 
2014/12/16, 127, 20, , 53, 
2014/12/17, 87, 28, , 54, 
2014/12/18, 109, 34, , 65, 
2014/12/20, 114, 23, , 40, 
2014/12/21, 91, 24, , 43, 
2014/12/22, 93, 24, , 48, 
2014/12/23, 93, , , , 
2014/12/26, 117, 9, , 48, 
2014/12/27, 38, 17, , 37, 
2014/12/28, 65, , , , 
2025/6/12, , 30, 91, 25, 
2024/12/31, , 36, 15, 15, 
2025/3/12, , 9, 28, 27, 
2025/3/18, , 22, 30, 36, 
2024/6/26, , 9, 45, 16, 
2024/3/13, , 29, 28, 36, 
2023/10/20, , 9, 21, 30, 
2023/11/22, , 18, 11, 29, 
2023/11/23, , 23, 9, 38, 
2023/11/26, , 24, 21, 33, 
2023/7/13, , 16, 44, 21, 
2023/3/21, , 20, 29, 48, 
2022/6/30, , 26, 56, 28, 
2022/1/3, , 21, 3, 35, 
2022/3/21, , 35, 37, 48, 
2021/12/9, , 24, 3, 44, 
2021/9/26, , 29, 25, , 
2021/9/27, , 31, 35, 33, 
2021/6/29, , 11, 37, 17, 
2021/2/3, , 42, 3, 32, 
2021/3/9, , 31, 29, 43, 
2020/12/30, , 25, 12, 37, 
2020/7/30, , 20, 63, 31, 
2020/8/3, , 8, , 30, 
2020/8/25, , 14, 59, 25, 
2020/9/24, , 4, 27, 16, 
2020/5/16, , 20, 38, 20, 
2020/5/17, , 23, 32, , 
2020/5/18, , 22, , , 
2020/5/28, , 6, 30, 32, 
2020/6/19, , 7, 40, 25, 
2020/6/24, , 14, , 26, 
2019/12/31, , 33, 12, 37, 
2020/2/12, , 29, , , 
2020/2/20, , 32, , 43, 
2019/10/20, , 25, 28, 30, 
2019/10/21, , 32, 13, 34, 
2019/10/28, , 49, 4, 28, 
2019/8/17, , 12, 53, 14, 
2019/8/18, , 16, 55, 21, 
2019/8/19, , 19, 59, 22, 
2019/8/30, , 26, 50, , 
2019/4/3, , 10, , 43, 
2019/4/4, , 12, , 31, 
2019/4/5, , 19, , 36, 
2019/5/5, , 10, , 35, 
2019/5/11, , 8, , 28, 
2019/5/20, , 15, , 32, 
2019/6/4, , 16, 49, 27, 
2019/6/5, , 21, 41, 27, 
2018/12/31, , 52, 3, 19, 
2019/2/24, , 29, , 37, 
2018/12/27, , 26, 4, 35, 
2018/9/27, , 12, 40, 56, 
2018/3/14, , 9, , 39, 
2017/12/12, , 28, , 41, 
2017/12/30, , 31, , 27, 
2017/9/7, , 6, , 27, 
2017/9/21, , 10, , 42, 
2017/4/23, , 13, , 23, 
2017/1/3, , 32, , 56, 
2017/3/14, , 22, , 44, 
2016/9/30, , 9, , 32, 
2016/10/7, , 12, , 32, 
2016/10/14, , 15, , 31, 
2016/10/28, , 25, , 50, 
2016/11/4, , 17, , 31, 
2016/11/11, , 10, , 43, 
2016/8/19, , 15, , 21, 
2016/8/26, , 12, , 37, 
2016/8/30, , 13, , 33, 
2016/9/7, , 19, , 54, 
2016/9/9, , 19, , 48, 
2016/9/23, , 14, , 36, 
2016/5/7, , 10, , 24, 
2016/6/17, , 8, , 22, 
2016/2/5, , 31, , 52, 
2016/2/19, , 12, , 41, 
2016/2/20, , 11, , 43, 
2016/2/21, , 30, , 41, 
2016/2/22, , 24, , 48, 
2016/3/11, , 27, , 40, 
2016/3/25, , 27, , 50, 
2015/10/14, , 8, , 52, 
2015/10/29, , 25, , 54, 
2015/11/22, , 17, , 38, 
2015/12/7, , 50, , 46, 
2015/12/24, , 33, , 35, 
2015/12/31, , 38, , 28, 
2015/4/29, , 6, , 40, 
2015/5/1, , 8, , 23, 
2015/1/1, , 25, , 50, 
2015/1/27, , 20, , 55, 
2015/2/8, , 25, , 70, 
2015/3/22, , 27, , , 
2014/10/5, , 16, , 41, 
2014/10/23, , 11, , 64, 
2014/11/7, , 21, , 37, 
2014/11/18, , 24, , 43, 
2014/12/19, , 30, , 43, 
2014/12/25, , 34, , 43, 
2025/6/11, , , 82, 27, 
2024/6/25, , , 32, 15, 
2023/7/10, , , 52, 21, 
2023/7/11, , , 42, 21, 
2023/7/12, , , 41, 23, 
2022/6/28, , , 44, 16, 
2022/6/29, , , 56, 21, 
2021/6/28, , , 47, 23, 
2020/8/1, , , 50, , 
2020/8/2, , , 33, 34, 
2020/8/24, , , 41, , 
2020/6/23, , , 46, 33, 
2019/8/29, , , 62, , 
2020/2/11, , , , 43, 
2015/4/30, , , , 23, 
2015/2/5, , , , 49, 
2015/2/6, , , , 41, 
2015/2/7, , , , 44, 
2014/12/5, , , , 38, 
