codice spira;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;sensor_key
3.41 3.40 6 1;138;1;spira;224;7035;20500;VIA S.DONATO;10550;14577;4000/343434;A;127;NE;305;11.36840727872;44.5038214672444;44.5038214672444, 11.36840727872;613;138_3.41 3.40 6 1
3.42 3.43 8 1;35;1;spira;203;7388;7500;VIA FILIPPO BEROALDO;10507;14937;4000/343434;A;134;SE;218;11.3651320279143;44.5037792862723;44.5037792862723, 11.3651320279143;616;35_3.42 3.43 8 1
3.52 3.9 6 1;335;1;spira;176;4633;8800;VIA CESARE BOLDRINI;10229;16717;4000/343434;A;144;O;79;11.3389815829378;44.504894787135;44.504894787135, 11.3389815829378;645;335_3.52 3.9 6 1
3.68 3.37 2 1;693;1;spira;974;3687;20500;VIA S.DONATO;10614;10878;4000/343434;A;376;SO;132;11.3842592039465;44.5113885078349;44.5113885078349, 11.3842592039465;659;693_3.68 3.37 2 1
3.96 3.88 2 1;272;1;spira;928;9925;21580;VIALE EUROPA;13181;15108;4000/343434;A;248;SO;147;11.3718400059909;44.5116456284622;44.5116456284622, 11.3718400059909;687;272_3.96 3.88 2 1
4.1 4.1 6 1;622;1;spira;955;10637;37000;VIA ENRICO MATTEI;7013;17473;4000/343434;A;307;NE;282;11.397791697604;44.4945042257202;44.4945042257202, 11.397791697604;689;622_4.1 4.1 6 1
4.4 4.48 6 1;56;1;spira;303;8119;36800;VIA GIUSEPPE MASSARENTI;6622;16174;4000/343434;A;198;E;276;11.3779981308761;44.4931719236153;44.4931719236153, 11.3779981308761;794;56_4.4 4.48 6 1
4.7 3.45 4 1;700;1;spira;1019;7733;32050;VIA LIBIA;6550;15539;4000/343434;A;205;N;5;11.3656485526299;44.4975747924864;44.4975747924864, 11.3656485526299;854;700_4.7 3.45 4 1
4.8 4.9 2 1;118;1;spira;295;8111;36800;VIA GIUSEPPE MASSARENTI;6476;16169;4000/343434;A;204;NO;70;11.3602888451438;44.493202720922;44.493202720922, 11.3602888451438;865;118_4.8 4.9 2 1
4.9 4.8 6 1;701;1;spira;1020;8110;36800;VIA GIUSEPPE MASSARENTI;6475;16169;4000/343434;A;124;E;258;11.3576701747149;44.4939334882945;44.4939334882945, 11.3576701747149;898;701_4.9 4.8 6 1
4.11 4.10 6 1;724;1;spira;1059;2173;20830;VIA GIUSEPPE DOZZA;6833;6816;4000/343434;A;167;SE;244;11.3953316746088;44.4755950444838;44.4755950444838, 11.3953316746088;694;724_4.11 4.10 6 1
4.13 4.85 4 1;435;1;spira;724;2210;31370;VIALE ILIC ULJANOV LENIN;6894;6898;4000/343434;A;382;NE;326;11.382644715796;44.4808493398104;44.4808493398104, 11.382644715796;707;435_4.13 4.85 4 1
4.15 4.13 6 2;669;1;spira;1001;8404;21350;VIA EMILIA LEVANTE;16369;6902;4000/343434;A;382;SE;249;11.3805540777111;44.4813999814497;44.4813999814497, 11.3805540777111;715;669_4.15 4.13 6 2
4.17 4.16 6 1;5;1;spira;275;1670;37300;VIA MAZZINI;6435;6453;4000/343434;A;157;E;243;11.3666149694305;44.4865236525277;44.4865236525277, 11.3666149694305;722;5_4.17 4.16 6 1
4.25 4.34 6 1;127;1;spira;201;652;58600;VIA TOSCANA;5814;5811;4000/343434;A;66;SE;190;11.3695829682712;44.4724125296344;44.4724125296344, 11.3695829682712;751;127_4.25 4.34 6 1
4.29 4.28 6 1;31;1;spira;207;678;40450;VIA AUGUSTO MURRI;5850;5841;4000/343434;A;63;SE;201;11.366838635113;44.4763799060329;44.4763799060329, 11.366838635113;758;31_4.29 4.28 6 1
4.30 4.96 4 1;506;1;spira;756;8381;18850;VIA GIUSEPPE DAGNINI;5849;16353;4000/343434;A;183;N;334;11.3687527990111;44.4781479012374;44.4781479012374, 11.3687527990111;765;506_4.30 4.96 4 1
4.31 4.30 6 1;131;1;spira;213;5273;42600;VIA DEGLI ORTI;13250;5872;4000/343434;A;62;SE;252;11.365487154574;44.4790502983208;44.4790502983208, 11.365487154574;767;131_4.31 4.30 6 1
4.38 4.38 4 1;661;1;spira;993;9449;3300;VIA ARNO;17051;6712;4000/343434;A;290;NE;334;11.387388537581;44.4728145659173;44.4728145659173, 11.387388537581;790;661_4.38 4.38 4 1
4.46 4.45 4 1;368;1;spira;118;8726;43950;VIALE ENRICO PANZACCHI;16642;16669;4000/343434;A;53;E;263;11.3400679866928;44.4862876958404;44.4862876958404, 11.3400679866928;818;368_4.46 4.45 4 1
4.48 4.4 2 1;541;1;spira;784;2293;36800;VIA GIUSEPPE MASSARENTI;6976;6966;4000/343434;A;271;O;83;11.3824175176279;44.4935534050699;44.4935534050699, 11.3824175176279;823;541_4.48 4.4 2 1
4.59 4.21 2 1;737;1;spira;987;434;58600;VIA TOSCANA;5557;5555;4000/343434;A;379;NE;327;11.3686581929968;44.4556275779058;44.4556275779058, 11.3686581929968;842;737_4.59 4.21 2 1
4.86 4.87 2 1;875;1;spira;1216;1816;53700;VIA FILIPPO SCHIASSI;6564;6365;4000/343434;A;201;O;68;11.366852870170122;44.48919574976592;44.48919574976592, 11.366852870170122;876;875_4.86 4.87 2 1
4.87 4.88 4 1;873;1;spira;1214;1841;43450;VIA PELAGIO PALAGI;6562;6365;4000/343434;A;201;N;5;11.366198373070214;44.48954045339875;44.48954045339875, 11.366198373070214;880;873_4.87 4.88 4 1
4.89 4.13 2 2;607;1;spira;943;2236;6200;VIA BELLARIA;6906;6736;4000/343434;A;383;NO;29;11.3836757956825;44.4798044650147;44.4798044650147, 11.3836757956825;887;607_4.89 4.13 2 2
4.94 4.95 2 1;572;1;spira;822;1542;1100;VIA LEANDRO ALBERTI;6369;6367;4000/343434;A;188;O;62;11.3653249692417;44.4856118251356;44.4856118251356, 11.3653249692417;915;572_4.94 4.95 2 1
0.127 1.5 8 1;532;1;spira;512;3036;38600;VIA DEI MILLE;10243;10242;4000/343434;A;250;E;255;11.3431701717514;44.501419288531;44.501419288531, 11.3431701717514;18;532_0.127 1.5 8 1
0.127 1.82 2 2;605;1;spira;953;1166;56100;VIA S.STEFANO;6124;6114;4000/343434;A;85;SE;217;11.34979980231;44.4904584072207;44.4904584072207, 11.34979980231;20;605_0.127 1.82 2 2
0.127 2.6 10 1;955;1;spira;1253;8709;1350;VIALE ANTONIO ALDINI;16657;16652;4000/343435;A;49;NO;5;11.32963801;44.49047298;44.49047298, 11.32963801;74;955_0.127 2.6 10 1
0.127 2.13 4 1;16;1;spira;330;10413;19480;VIALE ALCIDE DE GASPERI;8456;17397;4000/343434;A;293;NO;58;11.2682098473703;44.5141898632855;44.5141898632855, 11.2682098473703;30;16_0.127 2.13 4 1
0.127 2.39 6 1;513;1;spira;850;10;54980;VIA SIMONE DEI CROCEFISSI;4378;4376;4000/343434;A;309;N;27;11.2897702579417;44.4895652088348;44.4895652088348, 11.2897702579417;67;513_0.127 2.39 6 1
0.127 2.86 2 1;522;1;spira;908;6761;52550;VIA DELLA SALUTE;14384;8523;4000/343434;A;274;S;158;11.2730925875164;44.5225977148209;44.5225977148209, 11.2730925875164;89;522_0.127 2.86 2 1
0.127 3.2 8 1;890;1;spira;1227;6943;8100;VIA DELLA BEVERARA;8750;14514;4000/343434;A;209;N;13;11.3314889883209;44.5168688658531;44.5168688658531, 11.3314889883209;124;890_0.127 3.2 8 1
0.127 3.16 4 1;223;1;spira;618;3607;18550;VIA DELLA CROCE COPERTA;10752;10751;4000/343434;A;257;O;55;11.3533118901911;44.5310114540456;44.5310114540456, 11.3533118901911;114;223_0.127 3.16 4 1
0.127 3.27 2 1;834;1;spira;1171;5897;20800;VIA DELLA DOZZA;10802;15612;4000/343434;A;87;E;259;11.3662793951089;44.5294574528945;44.5294574528945, 11.3662793951089;132;834_0.127 3.27 2 1
0.127 3.29 8 1;461;1;spira;653;10170;44270;VIA FERRUCCIO PARRI;17303;10592;4000/343434;A;148;E;254;11.3575303306445;44.5128066796184;44.5128066796184, 11.3575303306445;137;461_0.127 3.29 8 1
0.127 3.32 4 1;331;1;spira;171;6175;31000;VIA DEL LAVORO;13923;10596;4000/343434;A;141;O;80;11.3557289516272;44.5077298694167;44.5077298694167, 11.3557289516272;142;331_0.127 3.32 4 1
0.127 3.45 4 1;628;1;spira;939;7392;39350;VIA MONDO;14939;10520;4000/343434;A;131;O;65;11.3657326803408;44.5015813296143;44.5015813296143, 11.3657326803408;162;628_0.127 3.45 4 1
0.127 3.48 6 1;477;1;spira;672;3368;61400;VIA VEZZA;15519;10503;4000/343434;A;138;NE;307;11.3598279114909;44.504380073977;44.504380073977, 11.3598279114909;165;477_0.127 3.48 6 1
0.127 3.54 5 2;653;1;spira;1077;3112;12700;VIA CAPO DI LUCCA;15196;16742;4000/343434;A;263;N;325;11.3492829808186;44.5035329777575;44.5035329777575, 11.3492829808186;173;653_0.127 3.54 5 2
0.127 3.64 6 1;627;1;spira;960;6924;35250;VIA MARCO POLO;14499;10643;4000/343434;A;372;N;351;11.3289690749773;44.5194807065927;44.5194807065927, 11.3289690749773;180;627_0.127 3.64 6 1
0.127 3.68 10 1;935;2;spira;971;3687;20500;VIA S.DONATO;10614;10878;4000/343434;A;376;NE;300;11.3843517872457;44.5114223619252;44.5114223619252, 11.3843517872457;183;935_0.127 3.68 10 1
0.127 3.84 6 1;399;1;spira;682;4729;23050;VIA ARISTOTILE FIORAVANTI;10419;10673;4000/343434;A;227;N;13;11.3423249815095;44.5165805261076;44.5165805261076, 11.3423249815095;194;399_0.127 3.84 6 1
0.127 3.86 2 1;893;1;spira;1231;3634;22400;VIA FERRARESE;10152;10776;4000/343434;A;102;SO;157;11.3564470154479;44.518650463753;44.518650463753, 11.3564470154479;197;893_0.127 3.86 2 1
0.127 3.90 2 1;855;1;spira;1196;8101;20500;VIA SAN DONATO;10991;16138;4000/343434;A;232;SO;127;11.410765190552794;44.52426826666227;44.52426826666227, 11.410765190552794;209;855_0.127 3.90 2 1
0.127 3.93 6 1;420;1;spira;704;10034;21580;VIALE EUROPA;13395;15789;4000/343434;A;106;NE;321;11.3816808772175;44.5176422952597;44.5176422952597, 11.3816808772175;218;420_0.127 3.93 6 1
0.127 3.95 2 1;866;1;spira;1207;3663;11050;VIA CADRIANO;10758;10754;4000/343434;A;84;SO;150;11.384043344665631;44.52906048056146;44.52906048056146, 11.384043344665631;222;866_0.127 3.95 2 1
0.127 3.95 4 1;868;1;spira;1209;3834;28350;VIA DEL GOMITO;10754;10983;4000/343434;A;84;O;68;11.3846568364099;44.52883581370783;44.52883581370783, 11.3846568364099;223;868_0.127 3.95 4 1
0.127 4.7 4 1;426;1;spira;714;1804;7000;VIA GIUSEPPE BENTIVOGLI;16000;6547;4000/343434;A;205;N;7;11.3642360557224;44.4971209607436;44.4971209607436, 11.3642360557224;296;426_0.127 4.7 4 1
0.127 4.9 10 1;948;2;spira;1021;8878;21500;VIALE GIAN BATTISTA ERCOLANI;16758;6475;4000/343434;A;124;N;6;11.3572791735248;44.4935843360608;44.4935843360608, 11.3572791735248;326;948_0.127 4.9 10 1
0.127 4.26 2 1;498;1;spira;747;1954;13250;VIA GIAN GIACOMO CARISSIMI;6659;5736;4000/343434;A;178;O;65;11.3769822415871;44.4676300663639;44.4676300663639, 11.3769822415871;242;498_0.127 4.26 2 1
0.127 4.31 4 2;778;1;spira;1113;632;34900;VIA GIOVANNI MARCHETTI;5780;5779;4000/343434;A;62;N;319;11.364745790592;44.4791039379357;44.4791039379357, 11.364745790592;247;778_0.127 4.31 4 2
0.127 4.33 4 1;235;1;spira;760;4406;25450;VIA GIOVAN BATTISTA GANDINO;6331;6301;4000/343434;A;60;NE;331;11.3584440126321;44.4827843221294;44.4827843221294, 11.3584440126321;249;235_0.127 4.33 4 1
0.127 4.36 10 1;951;2;spira;1069;2027;450;VIA ADIGE;6730;15891;4000/343434;A;392;O;73;11.37936091548;44.476760564837;44.476760564837, 11.37936091548;256;951_0.127 4.36 10 1
0.127 4.41 6 1;12;1;spira;283;1521;56100;VIA S.STEFANO;6345;6355;4000/343434;A;56;SE;219;11.3559501572473;44.4849629869879;44.4849629869879, 11.3559501572473;263;12_0.127 4.41 6 1
0.127 4.54 4 1;543;1;spira;786;584;17790;VIA ARCANGELO CORELLI;5535;5692;4000/343434;A;229;N;355;11.3760259777294;44.4654095761854;44.4654095761854, 11.3760259777294;287;543_0.127 4.54 4 1
0.127 4.65 4 1;663;1;spira;995;9216;1150;VIA ALBERTO MARIO;16964;5534;4000/343434;A;363;N;7;11.379546616452;44.4626935834935;44.4626935834935, 11.379546616452;293;663_0.127 4.65 4 1
0.127 4.72 7 1;783;1;spira;1127;11515;19245;VIA DEL DAZIO;17846;17845;4000/343434;A;398;;55;11.366792711887;44.4540975699273;44.4540975699273, 11.366792711887;303;783_0.127 4.72 7 1
0.127 4.72 8 1;782;1;spira;1126;11515;19245;VIA DEL DAZIO;17846;17845;4000/343434;A;398;;55;11.3668132748191;44.4541132039774;44.4541132039774, 11.3668132748191;304;782_0.127 4.72 8 1
0.127 4.90 2 1;558;1;spira;804;2049;53100;VIA SARDEGNA;6745;6744;4000/343434;A;192;NO;31;11.3833734855559;44.4764802838026;44.4764802838026, 11.3833734855559;327;558_0.127 4.90 2 1
1.4 1.4 8 1;527;1;spira;506;3065;30400;VIA IRNERIO;10245;15168;4000/343434;A;317;E;251;11.3464045268346;44.5006745125564;44.5006745125564, 11.3464045268346;370;527_1.4 1.4 8 1
1.13 1.19 8 1;536;1;spira;520;1170;22000;VIA FARINI;6108;6129;4000/343434;A;323;O;90;11.346225398506;44.4915421459711;44.4915421459711, 11.346225398506;353;536_1.13 1.19 8 1
2.2 2.1 4 1;240;1;spira;527;6256;56450;VIA DON LUIGI STURZO;16156;13983;4000/343434;A;333;SO;144;11.3016214226843;44.4909183605136;44.4909183605136, 11.3016214226843;432;240_2.2 2.1 4 1
2.5 2.95 6 1;19;1;spira;88;325;52950;VIA SARAGOZZA;4665;4651;4000/343434;A;337;O;90;11.3258609026138;44.4903451512572;44.4903451512572, 11.3258609026138;497;19_2.5 2.95 6 1
2.6 2.5 6 1;21;1;spira;91;891;52950;VIA SARAGOZZA;1;6025;4000/343434;A;49;O;93;11.3288713971023;44.4904721417666;44.4904721417666, 11.3288713971023;500;21_2.6 2.5 6 1
2.7 2.2 2 2;758;1;spira;1147;128;4850;VIA DELLA BARCA;4486;15506;4000/343434;A;36;;239;11.2961034896178;44.494233100611;44.494233100611, 11.2961034896178;503;758_2.7 2.2 2 2
2.9 2.20 6 1;164;1;spira;551;7291;18600;VIA DELLA CROCETTA;4678;14760;4000/343434;A;298;N;354;11.3184727885428;44.4953746950273;44.4953746950273, 11.3184727885428;516;164_2.9 2.20 6 1
2.18 2.82 6 1;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;11.3101650805774;44.499278975506;44.499278975506, 11.3101650805774;420;169_2.18 2.82 6 1
2.19 2.18 4 1;762;1;spira;1151;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;73;11.3134408610378;44.497876550954;44.497876550954, 11.3134408610378;423;762_2.19 2.18 4 1
2.19 2.19 6 1;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;11.3163420592928;44.4977904881531;44.4977904881531, 11.3163420592928;426;176_2.19 2.19 6 1
2.20 2.19 4 1;177;1;spira;569;4231;58000;VIA TOLMINO;4679;4680;4000/343434;A;23;O;79;11.3176323991363;44.4974179677684;44.4974179677684, 11.3176323991363;440;177_2.20 2.19 4 1
2.28 0.127 6 1;301;2;spira;41;2612;21400;VIA EMILIA PONENTE;8742;8739;;A;14;E;75;11.2969389020555;44.5088642358691;44.5088642358691, 11.2969389020555;457;301_2.28 0.127 6 1
2.31 2.30 4 1;293;1;spira;33;2681;21400;VIA EMILIA PONENTE;8776;8780;4000/343434;A;300;O;66;11.3133986552922;44.5041992237176;44.5041992237176, 11.3133986552922;472;293_2.31 2.30 4 1
2.35 2.34 4 1;285;1;spira;25;2860;52400;VIA AURELIO SAFFI;15233;8834;4000/343434;A;21;O;66;11.3266685739012;44.4994937005152;44.4994937005152, 11.3266685739012;484;285_2.35 2.34 4 1
2.36 2.25 8 1;80;1;spira;53;6789;35100;VIA MARCO EMILIO LEPIDO;14404;8461;4000/343434;A;10;E;245;11.2745916036551;44.5176349195239;44.5176349195239, 11.2745916036551;487;80_2.36 2.25 8 1
3.2 3.2 6 1;889;1;spira;1225;10621;24780;VIA JURIJ ALEKSEEVIC GAGARIN;8750;17468;4000/343434;A;209;O;91;11.331663394895;44.5171014987984;44.5171014987984, 11.331663394895;542;889_3.2 3.2 6 1
3.8 3.7 4 1;324;1;spira;164;9626;46000;VIALE PIETRO PIETRAMELLARA;16719;10165;4000/343434;A;146;SO;126;11.3341949740306;44.503136032281;44.503136032281, 11.3341949740306;665;324_3.8 3.7 4 1
3.9 3.8 4 1;318;1;spira;158;8843;46000;VIALE PIETRO PIETRAMELLARA;16732;16720;4000/343434;A;144;SO;126;11.3372983343019;44.5046955619006;44.5046955619006, 11.3372983343019;681;318_3.9 3.8 4 1
3.19 3.84 4 1;233;1;spira;629;3296;4800;VIA FRANCESCO BARBIERI;10402;10401;4000/343434;A;214;O;87;11.3473119548872;44.5165139262183;44.5165139262183, 11.3473119548872;540;233_3.19 3.84 4 1
3.32 3.32 2 3;796;1;spira;1141;6170;55950;VIA STALINGRADO;10596;13920;4000/343434;A;141;;163;11.3555282015322;44.5079150722029;44.5079150722029, 11.3555282015322;586;796_3.32 3.32 2 3
3.37 3.38 2 1;152;1;spira;241;4768;20500;VIA S.DONATO;10869;10870;4000/343434;A;111;SO;123;11.3816149681149;44.5100815830665;44.5100815830665, 11.3816149681149;602;152_3.37 3.38 2 1
3.40 3.41 2 1;140;1;spira;226;3417;20500;VIA S.DONATO;10566;10569;4000/343434;A;123;SO;123;11.3716684722159;44.5053417497097;44.5053417497097, 11.3716684722159;612;140_3.40 3.41 2 1
3.43 3.41 6 1;134;1;spira;219;3458;3400;VIA DELL'ARTIGIANO;13590;10550;4000/343434;A;129;NE;307;11.3666907259123;44.5029147024233;44.5029147024233, 11.3666907259123;618;134_3.43 3.41 6 1
3.45 3.43 6 1;40;1;spira;216;3407;3400;VIA DELL'ARTIGIANO;10474;13590;4000/343434;A;131;NE;307;11.3653720481785;44.5022594792447;44.5022594792447, 11.3653720481785;622;40_3.45 3.43 6 1
3.46 3.45 8 1;33;1;spira;209;3366;1950;VIA ROMOLO AMASEO;10472;10471;4000/343434;A;135;E;255;11.3628910381438;44.5022271945613;44.5022271945613, 11.3628910381438;625;33_3.46 3.45 8 1
3.47 3.48 2 1;476;1;spira;671;10440;51900;VIA RUGGERO RUGGERI;17406;10509;4000/343434;A;137;SO;126;11.3616569340703;44.5053596507755;44.5053596507755, 11.3616569340703;628;476_3.47 3.48 2 1
3.59 0.127 8 1;768;1;spira;1121;11603;13500;VIA DE' CARRACCI;14531;17891;4000/343434;A;397;;261;11.3377493153562;44.5080073889109;44.5080073889109, 11.3377493153562;650;768_3.59 0.127 8 1
3.68 3.36 6 1;691;1;spira;972;3687;20500;VIA S.DONATO;10614;10878;4000/343434;A;376;NE;300;11.3844966594673;44.5115119632077;44.5115119632077, 11.3844966594673;658;691_3.68 3.36 6 1
3.88 3.96 6 1;720;1;spira;1042;9925;21580;VIALE EUROPA;15108;13181;4000/343434;A;248;N;326;11.3720758677697;44.5117433897768;44.5117433897768, 11.3720758677697;678;720_3.88 3.96 6 1
3.92 0.127 6 1;417;1;spira;701;3729;21580;VIALE EUROPA;15791;16904;4000/343434;A;104;E;249;11.3897182625634;44.5178710176016;44.5178710176016, 11.3897182625634;683;417_3.92 0.127 6 1
4.5 4.6 2 1;912;1;spira;1250;8114;36800;VIA GIUSEPPE MASSARENTI;16172;6580;4000/343434;A;404;O;105;11.3701308522705;44.4928973187092;44.4928973187092, 11.3701308522705;829;912_4.5 4.6 2 1
4.15 4.16 2 1;437;1;spira;728;1677;37300;VIA MAZZINI;6460;15646;4000/343434;A;159;O;63;11.3722820568843;44.4844652515126;44.4844652515126, 11.3722820568843;716;437_4.15 4.16 2 1
4.15 4.92 8 1;436;1;spira;727;1676;54850;VIA CARLO SIGONIO;6460;6386;4000/343434;A;159;S;162;11.3722913785114;44.4840946104171;44.4840946104171, 11.3722913785114;717;436_4.15 4.92 8 1
4.19 4.9 4 1;112;1;spira;289;8878;21500;VIALE GIAN BATTISTA ERCOLANI;16758;6475;4000/343434;A;59;N;8;11.3576145615716;44.4907515867996;44.4907515867996, 11.3576145615716;731;112_4.19 4.9 4 1
4.19 4.43 8 1;114;1;spira;291;8893;13150;VIALE GIOSUE' CARDUCCI;16765;16761;4000/343434;A;59;S;186;11.3575423947453;44.4893377631406;44.4893377631406, 11.3575423947453;730;114_4.19 4.43 8 1
4.22 4.58 2 1;344;1;spira;186;8590;58600;VIA TOSCANA;5580;16500;4000/343434;A;72;N;353;11.3702915439271;44.4598649496139;44.4598649496139, 11.3702915439271;740;344_4.22 4.58 2 1
4.24 4.34 2 1;348;1;spira;191;551;58600;VIA TOSCANA;5752;5751;4000/343434;A;68;N;0;11.3708342058246;44.4670225931516;44.4670225931516, 11.3708342058246;744;348_4.24 4.34 2 1
4.47 2.6 8 1;364;1;spira;113;8709;1350;VIALE ANTONIO ALDINI;16657;16652;4000/343434;A;50;NO;64;11.3330972864426;44.4889773127449;44.4889773127449, 11.3330972864426;820;364_4.47 2.6 8 1
4.48 4.48 6 1;963;2;spira;785;2293;36800;VIA GIUSEPPE MASSARENTI;6966;6976;4000/343434;A;271;E;263;11.3826176171504;44.4934777662392;44.4934777662392, 11.3826176171504;822;963_4.48 4.48 6 1
4.55 4.55 2 1;713;1;spira;1034;8407;21350;VIA EMILIA LEVANTE;16374;6805;4000/343434;A;284;NO;64;11.3871912685015;44.4787387292632;44.4787387292632, 11.3871912685015;837;713_4.55 4.55 2 1
4.65 0.127 2 1;665;1;spira;997;1925;1150;VIA ALBERTO MARIO;5534;13519;4000/343434;A;363;NO;41;11.3792477763308;44.4631339663486;44.4631339663486, 11.3792477763308;848;665_4.65 0.127 2 1
4.70 4.70 1 1;858;1;spira;1199;2348;31370;VIALE VLADIMIR ILIC ULJANOV LENIN;6884;6889;4000/343434;A;197;SO;156;11.387885380055142;44.48841069687553;44.48841069687553, 11.387885380055142;856;858_4.70 4.70 1 1
4.72 0.127 4 1;785;1;spira;1129;11515;19245;VIA DEL DAZIO;17846;17845;4000/343434;A;398;;235;11.3667694434955;44.454076638502;44.454076638502, 11.3667694434955;859;785_4.72 0.127 4 1
4.82 0.127 2 1;547;1;spira;791;9114;32180;VIALE ABRAMO LINCOLN;6690;16925;4000/343434;A;194;O;63;11.3926126296835;44.4810774401175;44.4810774401175, 11.3926126296835;868;547_4.82 0.127 2 1
4.82 0.127 4 1;549;1;spira;793;2270;20950;VIA DUE MADONNE;6690;6936;4000/343434;A;194;N;338;11.393064921222;44.4810982589509;44.4810982589509, 11.393064921222;869;549_4.82 0.127 4 1
4.92 4.15 4 2;801;1;spira;1146;1684;54850;VIA CARLO SIGONIO;6386;6377;4000/343434;A;190;;341;11.3719564463774;44.4832628889278;44.4832628889278, 11.3719564463774;906;801_4.92 4.15 4 2
4.95 4.18 4 1;574;1;spira;824;10001;59150;PIAZZA TRENTO E TRIESTE;6363;6374;4000/343434;A;187;N;335;11.3618591024157;44.4872279237758;44.4872279237758, 11.3618591024157;916;574_4.95 4.18 4 1
0.127 1.5 2 1;520;1;spira;906;3125;25200;VIA GALLIERA;10241;10242;4000/343434;A;250;S;163;11.3435953508993;44.5016875497437;44.5016875497437, 11.3435953508993;16;520_0.127 1.5 2 1
0.127 2.19 10 1;942;2;spira;1222;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;NE;297;11.3160312523868;44.4974672343601;44.4974672343601, 11.3160312523868;39;942_0.127 2.19 10 1
0.127 2.31 6 1;191;1;spira;583;7675;16750;VIA CIMABUE;15441;8846;4000/343434;A;302;N;335;11.314438289839;44.5033998910462;44.5033998910462, 11.314438289839;56;191_0.127 2.31 6 1
0.127 2.84 4 1;830;1;spira;1172;5961;59350;VIA DEL TRIUMVIRATO;13735;8901;4000/343434;A;31;S;155;11.2946735197165;44.5209368672824;44.5209368672824, 11.2946735197165;85;830_0.127 2.84 4 1
0.127 3.12 8 1;222;1;spira;617;3926;35370;PASSAGGIO A. MARESCALCHI;11062;11147;4000/343434;A;256;E;271;11.3557118114992;44.5443998940677;44.5443998940677, 11.3557118114992;110;222_0.127 3.12 8 1
0.127 3.18 8 1;226;1;spira;621;4034;27710;VIA ANTONIO GIURIOLO;13044;10717;4000/343434;A;213;E;250;11.3491132962913;44.5252669290414;44.5252669290414, 11.3491132962913;119;226_0.127 3.18 8 1
0.127 3.22 6 1;375;1;spira;125;3201;24150;VIA MARCANTONIO FRANCESCHINI;10387;10396;4000/343434;A;306;N;351;11.3501684447412;44.5103886233221;44.5103886233221, 11.3501684447412;128;375_0.127 3.22 6 1
0.127 3.56 2 2;654;1;spira;1078;10591;57500;VIA ALESSANDRO TIARINI;17455;10334;4000/343434;A;276;E;256;11.3403094159011;44.5089851213122;44.5089851213122, 11.3403094159011;174;654_0.127 3.56 2 2
0.127 3.69 2 1;880;1;spira;1157;10205;57180;VIA UMBERTO TERRACINI;16940;17315;4000/343434;A;402;;144;11.319441798749056;44.51464848274652;44.51464848274652, 11.319441798749056;184;880_0.127 3.69 2 1
0.127 3.81 8 1;888;1;spira;1245;4602;60580;VIA VASCO DE GAMA;8949;8939;4000/343434;A;226;E;247;11.3290670740572;44.5215720381255;44.5215720381255, 11.3290670740572;187;888_0.127 3.81 8 1
0.127 3.95 8 1;867;1;spira;1208;6718;28350;VIA DEL GOMITO;10754;14348;4000/343434;A;84;E;247;11.383272098340198;44.52923412132316;44.52923412132316, 11.383272098340198;225;867_0.127 3.95 8 1
0.127 4.10 5 1;431;1;spira;720;2177;20830;VIA GIUSEPPE DOZZA;6817;6825;4000/343434;A;168;SE;242;11.3995457072359;44.4739465895938;44.4739465895938, 11.3995457072359;230;431_0.127 4.10 5 1
0.127 4.35 4 1;244;1;spira;764;6349;30800;VIA DEI LAMPONI;14050;5882;4000/343434;A;182;N;328;11.3718587692243;44.476538322225;44.476538322225, 11.3718587692243;252;244_0.127 4.35 4 1
0.127 4.43 6 1;253;1;spira;777;8888;19200;VIA DANTE;6344;16762;4000/343434;A;58;E;278;11.3575279049738;44.4873319692205;44.4873319692205, 11.3575279049738;265;253_0.127 4.43 6 1
0.127 4.44 2 1;379;1;spira;129;787;14700;VIA CASTIGLIONE;5954;5965;4000/343434;A;55;N;14;11.3482534644332;44.4845977789251;44.4845977789251, 11.3482534644332;266;379_0.127 4.44 2 1
0.127 4.46 2 1;256;1;spira;780;758;34200;VIA S.MAMOLO;5927;16642;4000/343434;A;53;N;358;11.339585734948;44.4861154692896;44.4861154692896, 11.339585734948;273;256_0.127 4.46 2 1
0.127 4.75 4 1;878;1;spira;1219;10207;30850;VIA LARGA;10849;17317;4000/343434;A;244;N;339;11.395332477390006;44.50022696066327;44.50022696066327, 11.395332477390006;308;878_0.127 4.75 4 1
0.127 4.81 2 1;898;1;spira;1241;2334;56370;VIA DEGLI STRADELLI GUELFI;16544;7006;4000/343434;A;174;O;67;11.398940997822;44.4894322059752;44.4894322059752, 11.398940997822;314;898_0.127 4.81 2 1
0.127 4.92 2 1;565;1;spira;812;1915;1100;VIA LEANDRO ALBERTI;6378;6377;4000/343434;A;190;O;64;11.3721775704097;44.4830290191615;44.4830290191615, 11.3721775704097;330;565_0.127 4.92 2 1
