codice spira;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;sensor_key
4.30 4.29 8 1;507;1;spira;757;712;18850;VIA GIUSEPPE DAGNINI;5849;5844;4000/343434;A;183;S;149;11.3684033954059;44.4778436718302;44.4778436718302, 11.3684033954059;762;507_4.30 4.29 8 1
4.30 4.31 2 1;38;1;spira;214;4305;42600;VIA DEGLI ORTI;5849;5863;4000/343434;A;183;NO;62;11.3683062927828;44.4781303401538;44.4781303401538, 11.3683062927828;763;38_4.30 4.31 2 1
4.32 4.31 6 1;110;1;spira;278;1563;40450;VIA AUGUSTO MURRI;6320;5781;4000/343434;A;61;SE;237;11.3623774818951;44.4809822507437;44.4809822507437, 11.3623774818951;770;110_4.32 4.31 6 1
4.32 4.40 4 2;612;1;spira;937;1498;36650;VIA ERNESTO MASI;6341;6343;4000/343434;A;186;NE;330;11.3643886404592;44.4835649713172;44.4835649713172, 11.3643886404592;773;612_4.32 4.40 4 2
4.35 4.30 2 1;133;1;spira;218;729;42600;VIA DEGLI ORTI;5882;5890;4000/343434;A;182;NO;67;11.3717311496117;44.4768321749516;44.4768321749516, 11.3717311496117;777;133_4.35 4.30 2 1
4.37 4.36 2 1;141;1;spira;227;9458;42700;VIA DEGLI ORTOLANI;6699;6728;4000/343434;A;180;NO;63;11.3818747370089;44.4741227481875;44.4741227481875, 11.3818747370089;784;141_4.37 4.36 2 1
4.38 4.37 2 1;146;1;spira;232;9454;42700;VIA DEGLI ORTOLANI;17054;6726;4000/343434;A;344;NO;64;11.3861065748172;44.4724692779208;44.4724692779208, 11.3861065748172;788;146_4.38 4.37 2 1
4.38 4.38 2 1;908;2;spira;1221;9451;50780;VIALE ROMA;17052;6682;4000/343434;A;345;SE;244;11.3876344425958;44.4719189827996;44.4719189827996, 11.3876344425958;789;908_4.38 4.38 2 1
4.39 4.31 8 1;29;1;spira;266;1612;5500;VIA LAURA BASSI VERATTI;6400;6401;4000/343434;A;185;SO;156;11.3670159912373;44.4825933334386;44.4825933334386, 11.3670159912373;791;29_4.39 4.31 8 1
4.39 4.93 4 1;28;1;spira;265;1593;5500;VIA LAURA BASSI VERATTI;6400;6383;4000/343434;A;185;NE;336;11.3673749396989;44.4829451527088;44.4829451527088, 11.3673749396989;793;28_4.39 4.93 4 1
4.40 4.94 4 1;24;1;spira;270;1659;36650;VIA ERNESTO MASI;6343;6448;4000/343434;A;186;NE;337;11.3646619218246;44.4839777366129;44.4839777366129, 11.3646619218246;797;24_4.40 4.94 4 1
4.45 4.46 8 1;370;1;spira;120;8731;43950;VIALE ENRICO PANZACCHI;5968;16671;4000/343434;A;54;O;82;11.342337785016;44.4861740041159;44.4861740041159, 11.342337785016;815;370_4.45 4.46 8 1
4.46 4.47 8 1;366;1;spira;115;8706;34250;PIAZZA DI PORTA S.MAMOLO;16640;16656;4000/343434;A;53;NO;63;11.3390206758832;44.4866906050182;44.4866906050182, 11.3390206758832;819;366_4.46 4.47 8 1
4.54 4.24 2 1;347;1;spira;190;550;47150;VIA AMILCARE PONCHIELLI;5737;5752;4000/343434;A;68;O;74;11.3710106877871;44.4667560724495;44.4667560724495, 11.3710106877871;833;347_4.54 4.24 2 1
4.72 4.59 2 1;773;1;spira;1156;11514;58600;VIA TOSCANA;5556;17845;4000/343434;A;398;;319;11.3667750588706;44.4541359445807;44.4541359445807, 11.3667750588706;862;773_4.72 4.59 2 1
4.89 4.13 2 1;717;1;spira;1038;8428;6200;VIA BELLARIA;6735;16388;4000/343434;A;193;NO;34;11.3852401806966;44.4777520815542;44.4777520815542, 11.3852401806966;886;717_4.89 4.13 2 1
4.89 4.90 8 1;557;1;spira;803;9388;32450;VIA LOMBARDIA;15654;6744;4000/343434;A;192;SO;121;11.3834422915836;44.476792574169;44.476792574169, 11.3834422915836;893;557_4.89 4.90 8 1
4.91 4.90 6 1;555;1;spira;801;2031;6500;PIAZZA BELLUNO;6770;6744;4000/343434;A;192;SE;212;11.3829922132726;44.4768446377012;44.4768446377012, 11.3829922132726;904;555_4.91 4.90 6 1
4.95 4.43 2 1;576;1;spira;826;1547;59150;PIAZZA TRENTO E TRIESTE;6363;6370;4000/343434;A;187;O;64;11.3613621979951;44.4872267306038;44.4872267306038, 11.3613621979951;917;576_4.95 4.43 2 1
4.96 4.92 4 1;564;1;spira;811;1622;54850;VIA CARLO SIGONIO;6404;6377;4000/343434;A;190;NE;341;11.371762568121;44.4829011144397;44.4829011144397, 11.371762568121;919;564_4.96 4.92 4 1
0.127 1.5 5 1;531;1;spira;511;3050;25200;VIA GALLIERA;10253;10242;4000/343434;A;250;N;343;11.3434083495971;44.5011734938257;44.5011734938257, 11.3434083495971;17;531_0.127 1.5 5 1
